Customer_ID,Customer_Name,Contact_Name,Contact_Email,Contact_Phone,Industry,Region,Annual_Revenue,Total_Employees,Account_Manager,Last_Contact_Date,Lead_Source,Priority,Open_Tickets,Closed_Tickets,Customer_Satisfaction_Score,Potential_Opportunity_Value,Current_Contract_Value
CUST-00001,Group Moore Group,Matthew Manning,nicholas29@hotmail.com,-8730,Automotive,United States,959974388.9,1701,Matthew Manning,10/6/2020 15:09,Online,Medium,4,25,4.23,655126.11,1316808.9
CUST-00002,Inc Murphy-Rodriguez,Jesse Schneider,christopherstokes@yahoo.com,-3463,Magnetics,United States,423684643.4,5892,Jesse Schneider,8/4/2020 11:00,Online,High,8,5,3.22,685819.7,9662625.58
CUST-00003,"Group Owens, Carroll and Brooks",Angela Tran,joshua03@gmail.com,-8452,Magnetics,United States,854167299.7,4230,Angela Tran,3/2/2020 9:23,Online,Medium,18,39,4.99,151678.37,5998602.12
CUST-00004,"Inc Powers, Moon and Fitzgerald",Joseph Rodriguez,dgutierrez@hotmail.com,-8403,Energy,United States,630838084.6,4328,Cody Simmons,11/1/2020 16:58,Trade Show,Medium,0,28,1.35,457153.44,4760570.02
CUST-00005,and Sons Berry Ltd,Matthew Nichols,todd74@boyle.com,-5970,Magnetics,United States,882923554.4,3116,Matthew Nichols,1/5/2020 9:30,Referral,Low,6,32,2.97,379719.12,810746.8
CUST-00006,"PLC Martin, Wilson and Smith",Randy Thomas,shariweber@rodriguez-ramirez.net,-9672,Manufacturing,United States,498261715.9,7171,Randy Thomas,1/19/2020 16:53,Trade Show,Medium,1,31,4.68,187893.64,4442706.35
CUST-00007,PLC Young-Ramsey,Justin Gilmore,thomasjohnson@palmer.org,-6794,Magnetics,United States,859444631.5,4864,Justin Gilmore,4/21/2020 11:10,Trade Show,Medium,9,24,4.27,373804.89,6931329.91
CUST-00008,Ltd Hansen-Garza,Evelyn Wu,walvarado@sanders.biz,-4412,Energy,United States,914291805.1,4351,Evelyn Wu,8/8/2020 14:20,Referral,High,16,19,4.59,469767.36,7080852.8
CUST-00009,LLC Wilson-Williamson,Elizabeth Mercer,travis39@yahoo.com,-10124,Magnetics,United States,421954532.7,103,Elizabeth Mercer,5/15/2020 11:16,Cold Call,Low,16,31,1.48,512465.52,4451099.98
CUST-00010,PLC Fischer-Walker,Christopher Ingram,johnsawyer@yahoo.com,-9703,Defense,United States,994668629.5,9284,Christopher Ingram,8/30/2020 15:45,Cold Call,Medium,13,19,4.42,93043.86,2887488.89
CUST-00011,LLC Santana-Gonzalez,Ronald Duke,sabrina66@yahoo.com,-9746,Automotive,United States,201685761.5,3500,Ronald Duke,7/25/2020 13:08,Referral,Low,0,37,4.05,193398.51,5314867.67
CUST-00012,Inc Ford and Sons,Emily Wade,ygoodwin@johnson.com,-8491,Technology,United States,434781631,3937,Emily Wade,12/4/2020 11:19,Trade Show,High,15,29,4.17,248622.61,1798305.95
CUST-00013,"and Sons Nichols, Moon and Johnston",Dawn Davis,alexander01@hotmail.com,-9176,Technology,United States,413988575.5,2550,Dawn Davis,4/7/2020 11:35,Trade Show,Medium,6,28,2.52,873967.14,7207828.89
CUST-00014,"Inc Bailey, Roy and Huff",Bridget Hubbard,tanya03@miller.org,-10968,Defense,United States,335259571.1,8987,Bridget Hubbard,5/27/2020 13:02,Trade Show,Medium,9,29,1.12,776487.66,4682777.06
CUST-00015,PLC Nichols-Pierce,Gregory Lin Jr.,rhonda79@bishop-harris.biz,-8531,Automotive,United States,441214068.7,6353,Gregory Lin Jr.,8/2/2020 10:03,Trade Show,High,14,43,2.86,520266.02,4707933.77
CUST-00016,PLC Murray-Hines,Gregory Mcknight,sdecker@preston.com,-5067,Technology,United States,83221457.69,869,Gregory Mcknight,8/13/2020 13:41,Online,High,17,24,4.3,498612.47,6045241.97
CUST-00017,PLC Monroe Ltd,Derek Brewer,samanthascott@hebert.com,-7845,Technology,United States,673024673.8,3622,Derek Brewer,6/15/2020 11:09,Referral,High,12,7,2.83,130636.48,6126454.39
CUST-00018,Group Mcmahon-Reed,Brandon Vasquez,walterconner@gmail.com,-9514,Manufacturing,United States,492442553.9,7891,Brandon Vasquez,12/8/2020 9:18,Referral,Medium,12,20,4.33,103052.09,8659374.64
CUST-00019,PLC Strickland Group,James Bullock,steven18@yahoo.com,-9091,Manufacturing,United States,514698454,9012,Ashlee Hebert,1/22/2020 8:03,Referral,Medium,13,28,4.33,982029.31,5101094.42
CUST-00020,"PLC Caldwell, Watson and Austin",James Taylor,glassandrew@lewis.info,-8934,Automotive,United States,408856850,1994,James Taylor,7/1/2020 13:56,Online,Medium,6,1,3.55,918080.35,7236437.31
CUST-00021,"PLC Payne, Fitzpatrick and Reese",Kimberly Vincent,russellrhonda@dean.biz,-4938,Energy,United States,800376848.8,8823,Kimberly Vincent,6/21/2020 13:52,Cold Call,High,14,10,3.98,569648.92,7103488.97
CUST-00022,Inc Wilson-Watkins,Miguel Miller,carrillomelissa@harris.biz,-10631,Defense,United States,760324503,7087,Miguel Miller,12/25/2020 8:24,Trade Show,Medium,11,12,2.3,811355.86,8923548.31
CUST-00023,LLC Liu LLC,Michael Sherman,kenneth55@spears.com,-5150,Energy,United States,293979016.6,7124,Michael Sherman,7/3/2020 15:04,Cold Call,Medium,5,38,4.6,48951.75,7874486.71
CUST-00024,Inc Jackson-Williams,Christopher Faulkner,burkedanielle@smith-baker.org,-4450,Energy,United States,122612001.5,2767,Christopher Faulkner,2/7/2020 12:29,Trade Show,High,16,2,2.6,931621.18,4730396.17
CUST-00025,"and Sons Adams, Ochoa and Bush",Troy Lopez,crystal89@todd.com,-4389,Energy,United States,698584044.1,8091,Troy Lopez,1/9/2020 8:13,Cold Call,High,5,34,1.91,364173.49,4745865.19
CUST-00026,LLC Wood-Simon,Shannon Diaz,xmyers@anderson-acosta.org,-4097,Magnetics,United States,299484384.7,7162,Shannon Diaz,6/14/2020 11:12,Trade Show,Low,1,24,1.28,419244.58,4128679.74
CUST-00027,PLC Conway-Moore,Bryan Smith,alvaradoholly@hotmail.com,-5793,Manufacturing,United States,796996438.7,7959,Bryan Smith,6/22/2020 11:49,Trade Show,Low,1,9,4.36,367489.69,6665920.33
